id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Dinner,preparation,23.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Dinner,preparation,0.7,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Breakfast,preparation,13.6,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Breakfast,preparation,48.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Breakfast,preparation,11.55,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Breakfast,preparation,5.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Dinner,spoilage,3.6,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-06,Event,Lunch,preparation,3.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,preparation,1.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,spoilage,1.0,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-06,Event,Lunch,buffet,2.597,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,preparation,7.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,preparation,8.3,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,buffet,1.7,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,preparation,1.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,buffet,1.1,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,buffet,2.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,buffet,3.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,spoilage,2.3,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,spoilage,3.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Breakfast,buffet,1.74,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Lunch,preparation,0.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Breakfast,preparation,1.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Lunch,preparation,5.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Lunch,buffet,1.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Breakfast,buffet,1.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Breakfast,preparation,4.6,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-05,Commissary,Dinner,preparation,56.8,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-05,Commissary,Dinner,preparation,0.25,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-05,Commissary,Dinner,preparation,0.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-05,Commissary,Breakfast,preparation,49.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-05,Commissary,Breakfast,preparation,10.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-05,Commissary,Breakfast,preparation,3.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Dinner,buffet,1.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Lunch,buffet,1.7,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-05,Bakery,Lunch,buffet,5.3,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,spoilage,0.4,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,preparation,1.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,buffet,0.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Lunch,buffet,5.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Lunch,buffet,2.1,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,preparation,0.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,preparation,6.1,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Dinner,preparation,1.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Dinner,preparation,3.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Dinner,preparation,100.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Dinner,preparation,5.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Breakfast,preparation,5.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Breakfast,preparation,68.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Breakfast,preparation,7.97,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-04,Commissary,Breakfast,preparation,1.23,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-04,Staff Canteen,Lunch,buffet,0.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-21,Bakery,Dinner,preparation,0.8,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-04,Event,Lunch,preparation,1.741,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-04,Event,Lunch,spoilage,0.61,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-04,Event,Lunch,preparation,1.733,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Lunch,buffet,2.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Lunch,buffet,1.7,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Lunch,buffet,3.0,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-04,Event,Lunch,preparation,6.0,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-04,Event,Lunch,preparation,1.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Dinner,preparation,3.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,preparation,0.819,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,buffet,3.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-04,Bakery,Breakfast,buffet,1.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-03,Bakery,Breakfast,preparation,1.8,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-03,Commissary,Dinner,preparation,0.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-03,Commissary,Dinner,preparation,23.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-03,Commissary,Breakfast,preparation,79.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-03,Commissary,Breakfast,preparation,15.8,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-03,Commissary,Breakfast,preparation,4.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-03-29,Banquet,Lunch,buffet,2.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-19,Commissary,Breakfast,preparation,24.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-19,Commissary,Breakfast,preparation,1.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-18,Bakery,Dinner,preparation,0.5,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-18,Event,Breakfast,preparation,1.3,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-18,Commissary,Breakfast,preparation,13.9,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-18,Commissary,Breakfast,preparation,43.8,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-18,Commissary,Breakfast,preparation,20.7,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-17,Bakery,Dinner,preparation,3.4,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-17,Bakery,Dinner,buffet,4.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-17,Bakery,Breakfast,buffet,1.4,,1.0,C
